lemma,surface_word,seed_node_count,source_node_ids,parts_of_speech,max_degree_score,best_frequency,earliest_age_of_acquisition,mean_concreteness
trained,trained,1,trained::a,a,187,4.275460429268994,,2.54
contest,contest,1,contest::n,n,36,4.273652749315124,7.44,3.52
arrive,arrive,1,arrive::v,v,17,4.271382516848555,6.26,3.22
league,league,1,league::v,v,6,4.270014659081874,8.45,3.46
coke,coke,1,coke::v,v,2,4.269100354571752,4.74,4.83
title,title,2,title::n;title::v,n;v,118,4.268642479482526,6.32,3.32
quality,quality,2,quality::a;quality::n,a;n,1030,4.268642479482526,8.78,2.18
steel,steel,1,steel::n,n,179,4.265885044937337,7.68,4.87
slave,slave,1,slave::v,v,8,4.265423765571716,7.84,4.38
standard,standard,1,standard::a,a,36,4.265423765571716,9.2,1.83
firing,firing,1,firing::n,n,48,4.2640369805235245,,3.64
pat,pat,1,pat::v,v,6,4.262181018374553,5.070761000000001,4.16
smooth,smooth,1,smooth::v,v,19,4.26171578589096,5.61,3.81
surface,surface,3,surface::a;surface::n;surface::v,a;n;v,621,4.260783823125802,8.86,4.26
role,role,1,role::n,n,111,4.260317090698395,6.65,2.19
device,device,1,device::n,n,321,4.258913876288957,8.06,3.97
reward,reward,1,reward::n,n,16,4.255621969490015,6.89,3.41
iron,iron,2,iron::n;iron::v,n;v,209,4.25372961581231,7.32,4.59
saint,saint,1,saint::n,n,53,4.253255236210908,7.489900000000001,3.45
express,express,1,express::r,r,4,4.253255236210908,8.8,2.21
specific,specific,1,specific::n,n,233,4.250398025366428,9.28,2.18
lack,lack,1,lack::n,n,239,4.248962339821273,8.28,2.04
ranch,ranch,1,ranch::v,v,4,4.244142151806585,7.35,4.73
designed,designed,1,designed::a,a,483,4.243657177460372,,2.93
tent,tent,1,tent::v,v,7,4.242685601033006,5.16,4.96
agreement,agreement,1,agreement::n,n,112,4.242685601033006,8.16,2.22
remains,remains,1,remains::n,n,88,4.241711846181335,7.873552000000001,3.46
term,term,1,term::v,v,6,4.241711846181335,8.28,2.82
connected,connected,1,connected::a,a,186,4.23730272727628,,2.68
mass,mass,3,mass::a;mass::n;mass::v,a;n;v,278,4.236810050556508,9.17,3.44
fully,fully,1,fully::r,r,97,4.236810050556508,,1.89
smiling,smiling,1,smiling::a,a,7,4.2353286580505625,,3.88
neighbor,neighbor,1,neighbor::v,v,5,4.228850249609274,5.06,4.64
searching,searching,1,searching::a,a,31,4.224814964067658,,2.73
bishop,bishop,1,bishop::n,n,78,4.224307906821613,10.5,4.21
goal,goal,1,goal::n,n,117,4.223800256872632,6.89,3.06
generous,generous,1,generous::a,a,25,4.222783173311983,7.22,2.25
average,average,2,average::a;average::v,a;v,28,4.221253067858752,8.9,2.4
gambling,gambling,1,gambling::n,n,51,4.219717552475167,9.22,3.54
admiral,admiral,1,admiral::n,n,41,4.219204505183484,8.72,4.11
alcohol,alcohol,1,alcohol::n,n,167,4.219204505183484,9.0,4.76
occasion,occasion,1,occasion::v,v,6,4.218690851094152,8.16,2.52
joined,joined,1,joined::a,a,75,4.21714623364411,,
shout,shout,1,shout::v,v,13,4.2161134282063415,4.72,4.17
judgment,judgment,1,judgment::n,n,115,4.2161134282063415,8.939252,1.68
tube,tube,2,tube::n;tube::v,n;v,158,4.21559610297316,5.5,4.82
mix,mix,1,mix::v,v,11,4.2135206176280615,5.11,3.82
commercial,commercial,2,commercial::a;commercial::n,a;n,198,4.210912234520534,6.17,3.24
behave,behave,1,behave::v,v,40,4.210388672694734,4.28,1.78
design,design,1,design::n,n,93,4.2093396516970065,10.05,3.27
perform,perform,1,perform::v,v,190,4.20670595968451,8.39,3.07
fence,fence,1,fence::v,v,4,4.205647994528176,6.28,4.82
greater,greater,1,greater::a,a,160,4.205647994528176,,2.35
powder,powder,1,powder::v,v,10,4.2051180439048785,5.06,4.76
normally,normally,1,normally::r,r,114,4.2051180439048785,7.202161000000001,1.83
advance,advance,2,advance::a;advance::n,a;n,44,4.203524300898321,8.35,2.57
sin,sin,1,sin::v,v,9,4.202458547033661,6.74,1.85
confess,confess,1,confess::v,v,6,4.199782663756732,7.11,2.57
clown,clown,1,clown::v,v,6,4.199245502919046,3.72,4.9
solution,solution,1,solution::n,n,167,4.199245502919046,9.0,2.61
forth,forth,1,forth::r,r,8,4.197630022512328,7.170190000000001,2.38
accepted,accepted,1,accepted::a,a,142,4.196008510428623,,2.28
satellite,satellite,1,satellite::v,v,4,4.1943809214584515,11.68,4.73
stress,stress,2,stress::n;stress::v,n;v,96,4.193292463540573,10.0,2.62
basic,basic,1,basic::n,n,313,4.19220127080093,9.14,2.26
patrol,patrol,1,patrol::v,v,6,4.1911073294620635,8.56,3.86
japan,japan,1,japan::v,v,5,4.190559323733954,7.330045,4.82
fort,fort,1,fort::v,v,7,4.188360359634015,6.477485000000001,4.72
hip,hip,1,hip::n,n,25,4.187808874503524,6.17,4.21
hood,hood,1,hood::v,v,3,4.187256688183868,5.5,4.88
patience,patience,1,patience::n,n,14,4.186703798889712,7.68,1.66
diet,diet,1,diet::v,v,5,4.186703798889712,9.25,3.21
earn,earn,1,earn::v,v,21,4.186150204828898,7.57,2.39
badge,badge,1,badge::v,v,3,4.183371599817025,6.11,4.93
financial,financial,1,financial::a,a,114,4.182813739134149,11.16,2.52
soap,soap,1,soap::v,v,9,4.181695863402648,3.17,4.93
unknown,unknown,1,unknown::n,n,60,4.18113584465077,8.11,1.47
rice,rice,1,rice::v,v,4,4.178324867316942,3.72,4.86
host,host,1,host::v,v,3,4.176629506093441,8.05,3.63
shark,shark,1,shark::v,v,5,4.1754955772980775,5.47,4.93
balance,balance,1,balance::v,v,9,4.1754955772980775,9.89,2.89
angle,angle,1,angle::v,v,7,4.173789113484061,8.05,3.5
degree,degree,1,degree::n,n,432,4.172647734425251,10.35,3.0
knocking,knocking,1,knocking::n,n,17,4.172647734425251,,4.29
movement,movement,1,movement::n,n,309,4.171503347776514,6.58,3.63
mud,mud,1,mud::v,v,13,4.170930021644533,4.05,4.86
influence,influence,2,influence::n;influence::v,n;v,143,4.169781093773648,10.32,2.11
tap,tap,1,tap::v,v,6,4.1686291183451605,5.84,4.29
product,product,1,product::n,n,209,4.1686291183451605,8.05,4.17
status,status,1,status::n,n,98,4.167474079148628,11.63,2.24
knee,knee,1,knee::n,n,79,4.16689540553616,4.42,5.0
escort,escort,1,escort::v,v,4,4.16689540553616,10.84,4.3
affairs,affairs,1,affairs::n,n,86,4.165735740008921,,
sample,sample,1,sample::v,v,3,4.163990414892753,7.21,3.79
relief,relief,1,relief::n,n,41,4.163990414892753,7.79,2.45
tax,tax,1,tax::v,v,5,4.162822955905035,8.94,3.89
deaf,deaf,1,deaf::v,v,7,4.162238047423487,6.83,3.27
port,port,1,port::n,n,349,4.162238047423487,9.32,4.41
habit,habit,1,habit::v,v,3,4.160478580539285,7.67,2.76
charged,charged,1,charged::a,a,118,4.159890503967501,,
benefit,benefit,1,benefit::v,v,5,4.156938116785588,9.17,2.25
liver,liver,1,liver::n,n,156,4.155157002264916,8.56,4.68
corn,corn,1,corn::v,v,4,4.152770762844554,4.61,4.96
international,international,1,international::n,n,122,4.152770762844554,8.67,2.82
debt,debt,1,debt::n,n,49,4.152770762844554,10.44,2.72
cotton,cotton,1,cotton::n,n,129,4.1515727083416065,6.0,4.97
towel,towel,1,towel::v,v,3,4.150972439438991,3.22,4.86
brush,brush,1,brush::v,v,5,4.150972439438991,3.78,4.54
self,self,1,self::a,a,6,4.150972439438991,5.0,3.1
costume,costume,1,costume::v,v,4,4.150371339714099,4.17,4.57
jet,jet,3,jet::a;jet::n;jet::v,a;n;v,22,4.150371339714099,5.39,4.77
bush,bush,1,bush::n,n,41,4.149769406863889,4.9,4.9
frame,frame,1,frame::v,v,4,4.149166638575728,7.67,4.3
washed,washed,1,washed::a,a,26,4.148563032527343,,4.0
rubber,rubber,1,rubber::v,v,8,4.1461401839455405,7.62,4.86
thick,thick,2,thick::a;thick::r,a;r,34,4.145532353920634,5.61,4.0
cave,cave,1,cave::v,v,4,4.145532353920634,6.74,4.96
theme,theme,1,theme::v,v,5,4.1437037428742265,8.5,2.72
tag,tag,1,tag::v,v,7,4.1424803773275265,5.0,4.25
oxygen,oxygen,1,oxygen::n,n,180,4.1424803773275265,8.63,3.66
religious,religious,2,religious::a;religious::n,a;n,274,4.141867399834229,7.84,2.5
commission,commission,1,commission::v,v,5,4.139406801286572,14.72,3.04
temperature,temperature,1,temperature::n,n,201,4.138789467164284,6.17,3.71
germany,germany,1,germany::n,n,247,4.136932182158716,,
crown,crown,1,crown::n,n,203,4.136311317890142,7.8,4.81
lawrence,lawrence,1,lawrence::n,n,18,4.135066920242469,,
cherry,cherry,1,cherry::n,n,18,4.133193612599315,5.58,4.62
leather,leather,1,leather::v,v,6,4.133193612599315,7.25,4.82
steam,steam,1,steam::v,v,7,4.1287908792040104,6.26,4.5
punishment,punishment,1,punishment::n,n,92,4.1281582578512115,5.47,2.46
gum,gum,1,gum::v,v,7,4.126890243864576,4.89,4.89
equal,equal,1,equal::n,n,744,4.126254845825993,6.47,2.56
possession,possession,1,possession::n,n,85,4.124981254057245,9.95,2.96
smaller,smaller,1,smaller::a,a,216,4.124981254057245,,2.46
western,western,1,western::a,a,14,4.124343054850696,6.67,2.8
digging,digging,1,digging::n,n,23,4.122422810829605,,3.93
stable,stable,1,stable::v,v,7,4.12049403867978,8.9,3.77
whip,whip,2,whip::n;whip::v,n;v,38,4.119203415198285,7.0,4.68
determined,determined,1,determined::a,a,119,4.119203415198285,,1.79
complex,complex,1,complex::n,n,145,4.117908944845286,11.21,1.96
stroke,stroke,1,stroke::n,n,43,4.116610604620005,9.24,4.1
accused,accused,1,accused::n,n,39,4.115959976061009,,2.93
temporary,temporary,1,temporary::n,n,131,4.115308371314761,8.84,2.27
blade,blade,1,blade::n,n,106,4.114002221512477,6.72,4.93
superior,superior,2,superior::a;superior::n,a;n,89,4.114002221512477,9.84,2.03
blanket,blanket,1,blanket::v,v,3,4.113347670549233,3.61,5.0
clerk,clerk,1,clerk::v,v,5,4.11071955673847,6.74,4.28
activity,activity,1,activity::n,n,358,4.110060035758416,6.47,2.72
resist,resist,1,resist::v,v,37,4.110060035758416,9.28,2.78
exhausted,exhausted,1,exhausted::a,a,32,4.10873798152012,,2.87
comment,comment,1,comment::v,v,9,4.108075442136243,8.84,3.29
expression,expression,1,expression::n,n,253,4.10608173787638,6.94,2.54
beloved,beloved,1,beloved::n,n,8,4.10608173787638,9.94,2.14
chamber,chamber,1,chamber::v,v,3,4.105415130712652,9.3,4.59
task,task,1,task::v,v,18,4.104747498787315,7.89,2.84
effects,effects,1,effects::n,n,193,4.104747498787315,,2.83
capital,capital,1,capital::n,n,803,4.1040788389448295,8.1,4.1
chin,chin,1,chin::v,v,12,4.103409148015054,4.22,4.89
conditions,conditions,1,conditions::n,n,214,4.103409148015054,,
string,string,1,string::v,v,5,4.10273842281316,4.94,4.76
empire,empire,1,empire::n,n,67,4.10273842281316,8.44,3.0
edgar,edgar,1,edgar::n,n,13,4.10273842281316,,
pump,pump,1,pump::v,v,8,4.102066660139544,6.06,4.31
developed,developed,1,developed::a,a,401,4.102066660139544,,
beard,beard,1,beard::v,v,8,4.100720009504272,4.84,4.96
related,related,1,related::a,a,657,4.100720009504272,,2.56
pole,pole,1,pole::v,v,3,4.100045115068682,5.63,4.66
typical,typical,1,typical::a,a,141,4.100045115068682,8.62,1.52
entertainment,entertainment,1,entertainment::n,n,67,4.098692171663277,7.39,2.92
hammer,hammer,1,hammer::v,v,4,4.09597357447981,5.42,4.77
acts,acts,1,acts::n,n,160,4.09597357447981,,3.29
rear,rear,1,rear::a,a,13,4.0946078674364355,6.89,3.59
covering,covering,1,covering::n,n,190,4.0946078674364355,,3.46
toss,toss,1,toss::v,v,10,4.093237852161815,4.11,3.96
russia,russia,1,russia::n,n,238,4.091863501388595,,
purple,purple,1,purple::v,v,4,4.091174691598042,3.6,4.04
excitement,excitement,1,excitement::n,n,52,4.0904847875897286,7.2,2.48
development,development,1,development::n,n,335,4.08840847535489,8.63,2.41
attached,attached,1,attached::a,a,270,4.087018731826884,,3.23
behalf,behalf,1,behalf::n,n,31,4.08492574232104,9.19502,1.52
discussion,discussion,1,discussion::n,n,57,4.084225831642714,7.4,3.07
permit,permit,1,permit::v,v,8,4.082822617233276,9.47,3.43
terrorist,terrorist,1,terrorist::n,n,87,4.082822617233276,12.76,3.64
upper,upper,1,upper::a,a,23,4.0821193061777015,7.56,3.37
dull,dull,1,dull::v,v,11,4.0821193061777015,8.05,2.37
july,july,1,july::n,n,14,4.0821193061777015,,2.93
discover,discover,1,discover::v,v,45,4.080709257919876,7.61,2.37
kansas,kansas,1,kansas::n,n,21,4.080709257919876,,
combination,combination,1,combination::n,n,173,4.078585564290021,8.42,2.86
precisely,precisely,1,precisely::r,r,23,4.078585564290021,,2.3
log,log,1,log::v,v,5,4.077875352387014,6.74,4.96
basis,basis,1,basis::n,n,224,4.077163977155227,11.05,1.83
jazz,jazz,1,jazz::v,v,4,4.0764514347773355,8.5,3.9
ruby,ruby,1,ruby::n,n,9,4.075737721417195,6.829166000000001,4.77
rocket,rocket,1,rocket::v,v,7,4.073589516796929,5.63,4.73
cloud,cloud,1,cloud::n,n,50,4.069985392528103,3.63,4.54
threatening,threatening,1,threatening::a,a,38,4.069985392528103,,2.37
individual,individual,1,individual::n,n,206,4.067808473273829,7.7,3.52
engineer,engineer,1,engineer::v,v,3,4.067808473273829,9.89,4.64
industry,industry,1,industry::n,n,100,4.067808473273829,10.44,3.29
serving,serving,1,serving::n,n,290,4.067808473273829,,3.32
shelter,shelter,1,shelter::v,v,6,4.067080401884697,9.21,4.64
carpet,carpet,1,carpet::v,v,5,4.066351107873009,6.05,4.96
southern,southern,1,southern::a,a,1076,4.0648888355087225,7.56,2.62
appearance,appearance,1,appearance::n,n,264,4.0641558488673795,8.83,2.57
hockey,hockey,1,hockey::n,n,39,4.061949436931561,5.44,4.31
waitress,waitress,1,waitress::v,v,5,4.061949436931561,7.22,4.56
veronica,veronica,1,veronica::n,n,4,4.061211468220598,,
electricity,electricity,1,electricity::n,n,131,4.05899000822664,6.6,3.9
pillow,pillow,1,pillow::v,v,3,4.0567571267943485,3.47,5.0
elephant,elephant,1,elephant::n,n,31,4.05601027453479,4.8,5.0
photograph,photograph,1,photograph::n,n,45,4.055262135707397,6.68,4.89
heal,heal,1,heal::v,v,6,4.054512705871896,7.47,3.03
gin,gin,1,gin::n,n,22,4.052256625567672,12.06,4.46
straighten,straighten,1,straighten::v,v,5,4.049230170937484,7.63,3.72
boot,boot,1,boot::v,v,4,4.046946408539531,3.89,4.96
bitter,bitter,1,bitter::v,v,7,4.046946408539531,8.81,2.93
annoying,annoying,1,annoying::n,n,23,4.046182477855479,6.52,2.31
nest,nest,1,nest::v,v,4,4.045417201037367,5.11,4.86
conduct,conduct,1,conduct::n,n,102,4.045417201037367,8.58,2.08
function,function,1,function::n,n,220,4.044650573332731,9.1,1.92
wisdom,wisdom,1,wisdom::n,n,50,4.044650573332731,9.61,1.53
jewelry,jewelry,1,jewelry::n,n,66,4.043882589963898,6.67,4.82
produce,produce,2,produce::n;produce::v,n;v,254,4.043882589963898,7.75,3.31
analysis,analysis,1,analysis::n,n,103,4.0431132461278025,11.32,2.56
nelson,nelson,1,nelson::n,n,10,4.0431132461278025,,
shed,shed,1,shed::a,a,5,4.0407970034006215,7.33,4.55
lick,lick,1,lick::n,n,6,4.04002216915066,4.3,4.52
extreme,extreme,1,extreme::a,a,53,4.0392459500308835,9.47,1.96
sixth,sixth,1,sixth::a,a,11,4.033773219873659,5.3585,3.83
canada,canada,1,canada::n,n,206,4.032985740996245,,
tool,tool,1,tool::n,n,58,4.031406486594552,5.37,4.6
facing,facing,1,facing::n,n,71,4.031406486594552,,3.46
tissue,tissue,1,tissue::n,n,282,4.0306147006288295,4.76,4.93
marked,marked,1,marked::a,a,635,4.0306147006288295,,3.88
lamb,lamb,1,lamb::v,v,3,4.026633971733307,4.15,4.97
require,require,1,require::v,v,35,4.026633971733307,8.67,2.07
privilege,privilege,1,privilege::v,v,3,4.026633971733307,9.24,1.93
drawn,drawn,1,drawn::a,a,144,4.026633971733307,,2.79
separated,separated,1,separated::a,a,121,4.02503140725103,,
payment,payment,1,payment::n,n,126,4.023422907331199,8.67,3.91
detroit,detroit,1,detroit::n,n,13,4.023422907331199,,
tested,tested,1,tested::a,a,36,4.022616417810849,,3.0
effective,effective,1,effective::a,a,99,4.021808427844015,10.83,2.04
lecture,lecture,1,lecture::v,v,4,4.020187924165688,9.5,3.79
parole,parole,1,parole::v,v,5,4.019375399173017,11.47,2.66
plug,plug,1,plug::v,v,11,4.017745774439508,6.05,4.64
communication,communication,1,communication::n,n,130,4.015289814179646,8.47,2.9
wrist,wrist,1,wrist::n,n,52,4.014468064678272,5.94,4.93
worthy,worthy,2,worthy::a;worthy::n,a;n,40,4.014468064678272,10.28,2.0
spots,spots,1,spots::n,n,118,4.014468064678272,,
skipper,skipper,1,skipper::v,v,4,4.011165429128186,,4.39
tense,tense,2,tense::n;tense::v,n;v,31,4.010335831011734,9.35,2.35
august,august,1,august::n,n,12,4.008671865443985,5.6462390000000005,3.04
injury,injury,1,injury::n,n,162,4.008671865443985,7.56,4.0
intense,intense,1,intense::a,a,163,4.008671865443985,9.67,2.41
structure,structure,2,structure::n;structure::v,n;v,377,4.007837485779259,9.45,4.03
organized,organized,1,organized::a,a,175,4.007837485779259,,2.63
dynamite,dynamite,1,dynamite::v,v,3,4.004483843771672,7.11,4.68
sober,sober,1,sober::v,v,4,4.004483843771672,10.84,2.86
branch,branch,2,branch::n;branch::v,n;v,621,4.003641371185651,5.11,4.9
worn,worn,1,worn::a,a,501,4.003641371185651,,3.68
budget,budget,1,budget::v,v,6,4.002797261139736,10.05,3.14
deserved,deserved,1,deserved::a,a,15,4.002797261139736,,1.38
bucket,bucket,1,bucket::v,v,3,4.001104103120291,5.61,4.96
experienced,experienced,1,experienced::a,a,51,4.000255042279173,,1.5
warehouse,warehouse,1,warehouse::v,v,3,3.999404318242396,8.58,4.69
acid,acid,2,acid::a;acid::n,a;n,234,3.9985519244812187,9.6,4.25
october,october,1,october::n,n,17,3.996842101477796,,2.81
scum,scum,1,scum::v,v,3,3.995984658984259,9.83,3.9
pencil,pencil,1,pencil::v,v,5,3.9942646785899854,4.06,4.88
causing,causing,1,causing::n,n,444,3.9934021272003872,,1.55
core,core,1,core::v,v,5,3.992537859289479,7.63,3.96
dummy,dummy,1,dummy::v,v,4,3.991671868011706,5.17,3.96
columbo,columbo,1,columbo::n,n,9,3.991671868011706,,
dock,dock,1,dock::v,v,5,3.9890634849041775,8.22,4.64
bald,bald,1,bald::v,v,6,3.988190530877792,7.26,4.69
blank,blank,1,blank::n,n,18,3.9873158186346576,6.05,3.12
atmosphere,atmosphere,1,atmosphere::n,n,129,3.985561091068107,9.79,3.04
connect,connect,1,connect::v,v,33,3.98468106142169,7.58,2.88
autopsy,autopsy,1,autopsy::v,v,6,3.9820302221729738,11.71,4.29
mill,mill,1,mill::n,n,31,3.9793631033590944,8.17,4.72
sweep,sweep,1,sweep::v,v,4,3.9784704114067533,4.2,3.72
delicate,delicate,1,delicate::a,a,118,3.9784704114067533,8.2,2.3
scale,scale,2,scale::n;scale::v,n;v,88,3.9784704114067533,8.85,4.39
previous,previous,1,previous::a,a,61,3.9775758807467234,8.44,2.52
chart,chart,1,chart::v,v,3,3.9766795037888722,7.59,4.48
investigate,investigate,1,investigate::v,v,9,3.9766795037888722,9.0,2.27
scheduled,scheduled,1,scheduled::a,a,22,3.9766795037888722,,
aircraft,aircraft,1,aircraft::n,n,208,3.975781272895972,7.61,4.4
arrangement,arrangement,1,arrangement::n,n,122,3.975781272895972,9.89,2.3
physics,physics,1,physics::n,n,190,3.975781272895972,11.68,3.07
independent,independent,1,independent::n,n,194,3.9712620387565787,9.28,2.04
height,height,1,height::n,n,90,3.970352521184574,5.42,3.86
error,error,1,error::n,n,74,3.967612483818545,6.21,2.68
web,web,1,web::v,v,6,3.964855049273356,5.37,4.37
hint,hint,1,hint::v,v,4,3.9639320000801774,5.95,2.33
grey,grey,1,grey::v,v,4,3.9639320000801774,,4.11
closely,closely,1,closely::r,r,269,3.9630069848595433,,2.46
snack,snack,1,snack::v,v,5,3.961151022710572,2.78,4.36
phrase,phrase,1,phrase::n,n,76,3.959287095034414,8.44,2.86
penalty,penalty,1,penalty::n,n,33,3.959287095034414,8.89,2.86
outer,outer,1,outer::a,a,165,3.958352122699341,7.32,3.74
chew,chew,1,chew::v,v,11,3.957415133162413,4.05,3.93
wax,wax,1,wax::v,v,8,3.9564761177005856,6.0,4.97
coffin,coffin,1,coffin::v,v,3,3.9564761177005856,7.79,4.86
kindness,kindness,1,kindness::n,n,16,3.955535067534108,6.26,1.74
certificate,certificate,1,certificate::v,v,3,3.9536468276817214,8.42,4.59
recognized,recognized,1,recognized::a,a,116,3.9536468276817214,,
breast,breast,1,breast::v,v,4,3.952699620148329,6.6,4.89
broadcast,broadcast,1,broadcast::v,v,12,3.952699620148329,9.3,3.46
barbecue,barbecue,1,barbecue::v,v,6,3.95175034221431,7.83,4.52
fluid,fluid,1,fluid::n,n,167,3.95175034221431,7.94,4.73
various,various,1,various::a,a,1095,3.95175034221431,9.58,2.35
motorcycle,motorcycle,1,motorcycle::v,v,5,3.9507989848088947,5.05,4.97
noah,noah,1,noah::n,n,20,3.9507989848088947,,
auction,auction,1,auction::v,v,5,3.9498455388015725,10.67,3.93
oven,oven,1,oven::n,n,34,3.948889995001564,5.67,4.97
doris,doris,1,doris::n,n,7,3.948889995001564,,
dial,dial,1,dial::v,v,5,3.9479323441572918,6.68,4.52
lipstick,lipstick,1,lipstick::v,v,4,3.9450466559198034,5.42,4.9
pepper,pepper,1,pepper::v,v,3,3.9450466559198034,5.47,4.59
protest,protest,1,protest::v,v,7,3.944080483147783,9.11,3.21
proposal,proposal,1,proposal::n,n,23,3.944080483147783,11.05,2.75
cease,cease,1,cease::n,n,5,3.941169000856602,9.26,2.39
shrimp,shrimp,1,shrimp::v,v,4,3.9401941531253915,7.11,4.8
cannon,cannon,1,cannon::v,v,3,3.9401941531253915,7.9,4.79
conflict,conflict,1,conflict::v,v,8,3.9401941531253915,9.58,2.21
chemistry,chemistry,1,chemistry::n,n,158,3.9382378683675294,9.94,3.64
tin,tin,2,tin::n;tin::v,n;v,54,3.9372564114935518,6.79,4.87
throne,throne,1,throne::v,v,5,3.9372564114935518,7.28,4.64
pimp,pimp,1,pimp::n,n,11,3.9362727316122985,12.78,4.18
symbol,symbol,1,symbol::n,n,68,3.934298662386581,7.26,3.11
tension,tension,1,tension::n,n,68,3.932315579114882,9.72,2.6
display,display,1,display::n,n,89,3.9313206314130458,7.72,3.86
scar,scar,1,scar::v,v,7,3.9283220384978255,5.68,4.74
compete,compete,1,compete::v,v,22,3.9283220384978255,6.94,2.57
values,values,1,values::n,n,120,3.9283220384978255,,
rolled,rolled,1,rolled::a,a,48,3.9283220384978255,,3.64
nickel,nickel,2,nickel::n;nickel::v,n;v,50,3.9273178889593723,5.75,4.79
resistance,resistance,1,resistance::n,n,124,3.9273178889593723,10.0,2.68
chased,chased,1,chased::n,n,3,3.9273178889593723,,
dizzy,dizzy,1,dizzy::v,v,5,3.9263114123051914,5.5,2.59
australia,australia,1,australia::n,n,220,3.9263114123051914,,
recorded,recorded,1,recorded::a,a,72,3.9253025977240465,,
determine,determine,1,determine::v,v,175,3.9242914343291844,8.89,2.13
sequence,sequence,2,sequence::n;sequence::v,n;v,109,3.9242914343291844,10.28,3.1
alibi,alibi,1,alibi::v,v,5,3.9222620171694835,12.5,2.57
judges,judges,1,judges::n,n,32,3.9222620171694835,,
cane,cane,1,cane::v,v,5,3.921243741247179,5.74,4.87
cabinet,cabinet,1,cabinet::n,n,34,3.921243741247179,6.06,4.89
indicate,indicate,1,indicate::v,v,160,3.921243741247179,9.74,2.39
plague,plague,1,plague::n,n,25,3.9202230721947715,9.26,3.41
formal,formal,2,formal::a;formal::n,a;n,158,3.9202230721947715,10.5,2.7
prior,prior,1,prior::n,n,106,3.918174509519502,10.63,2.45
native,native,1,native::n,n,931,3.917146593106134,9.2,3.03
harmony,harmony,1,harmony::n,n,49,3.9150834325423602,8.79,2.46
yacht,yacht,1,yacht::v,v,3,3.9150834325423602,10.06,4.97
genuine,genuine,1,genuine::a,a,24,3.9140481651107555,9.06,2.03
larger,larger,1,larger::a,a,205,3.9140481651107555,,
established,established,1,established::a,a,299,3.9109274727712027,,1.97
eastern,eastern,1,eastern::a,a,1252,3.909882238856553,8.61,3.11
capacity,capacity,1,capacity::n,n,171,3.908834483265359,9.83,3.1
enterprise,enterprise,1,enterprise::n,n,39,3.908834483265359,12.89,2.04
reaching,reaching,1,reaching::n,n,36,3.907784193800861,,3.5
hose,hose,2,hose::n;hose::v,n;v,16,3.9067313581775944,5.33,4.87
ankle,ankle,1,ankle::n,n,44,3.9046179988641954,4.89,4.81
pale,pale,1,pale::v,v,7,3.9046179988641954,6.95,3.79
recover,recover,1,recover::v,v,23,3.9046179988641954,7.56,2.64
disgrace,disgrace,1,disgrace::n,n,10,3.9046179988641954,8.22,2.11
pod,pod,1,pod::v,v,4,3.9035574501518018,7.95,4.63
depression,depression,1,depression::n,n,106,3.90142855136968,10.71,2.39
author,author,1,author::v,v,2,3.900360175721654,7.1,4.26
skill,skill,1,skill::n,n,113,3.8992891653591286,6.8,2.17
accurate,accurate,1,accurate::a,a,38,3.894978514764642,9.44,1.9
saddle,saddle,1,saddle::v,v,5,3.8938941334724224,6.42,4.85
rack,rack,1,rack::v,v,4,3.891717214218148,6.26,4.48
relative,relative,1,relative::n,n,129,3.891717214218148,6.47,2.97
addition,addition,1,addition::n,n,90,3.8895293280699725,5.763466,2.89
liquid,liquid,2,liquid::a;liquid::n,a;n,487,3.8895293280699725,5.83,4.72
aspirin,aspirin,1,aspirin::n,n,26,3.8895293280699725,7.95,4.76
gratitude,gratitude,1,gratitude::n,n,24,3.8895293280699725,8.26,2.56
principle,principle,1,principle::n,n,136,3.8895293280699725,9.68,1.7
shaft,shaft,1,shaft::v,v,3,3.887330363970034,10.17,4.71
completed,completed,1,completed::a,a,56,3.885120209164917,,
cuba,cuba,1,cuba::n,n,28,3.885120209164917,,
importance,importance,1,importance::n,n,152,3.8840108995403266,6.8,1.75
passage,passage,1,passage::n,n,171,3.8840108995403266,8.11,3.8
spoon,spoon,1,spoon::v,v,6,3.8817837434701676,2.5,4.96
belief,belief,1,belief::n,n,163,3.8817837434701676,7.3,1.19
seed,seed,1,seed::v,v,5,3.8795451071633713,4.72,4.71
communist,communist,1,communist::n,n,59,3.8795451071633713,13.22,3.5
accomplished,accomplished,1,accomplished::a,a,28,3.8772948716529605,,1.7
chili,chili,1,chili::n,n,11,3.8750329161130828,6.61,4.79
shepherd,shepherd,1,shepherd::v,v,5,3.87161773876127,6.67,4.67
receipt,receipt,1,receipt::v,v,3,3.87161773876127,8.53,4.86
heel,heel,1,heel::n,n,52,3.8693259419816854,7.85,4.86
logical,logical,1,logical::a,a,59,3.8693259419816854,9.83,2.11
prescription,prescription,1,prescription::a,a,6,3.868175492350253,9.22,4.0
sucking,sucking,1,sucking::n,n,42,3.868175492350253,,3.83
olive,olive,1,olive::a,a,11,3.867021987072121,6.68,4.9
lobster,lobster,1,lobster::n,n,20,3.8658654098721787,7.44,4.86
refer,refer,1,refer::v,v,71,3.8658654098721787,9.18,2.41
ideal,ideal,1,ideal::a,a,12,3.8658654098721787,9.5,1.37
casual,casual,1,casual::a,a,29,3.86470574434494,9.83,2.03
suspended,suspended,1,suspended::a,a,93,3.86470574434494,,2.28
